numUsers,numChannels,coverProb,numTrials,avgTimeMs,avgChosenChannels,avgCoveredUsers
100,20,0.200,10,0.3207,11.3000,99.6000
100,50,0.200,10,0.3346,9.5000,100.0000
100,100,0.200,10,0.4116,8.4000,100.0000
100,200,0.200,10,0.8269,8.0000,100.0000
500,20,0.200,10,0.5041,18.0000,495.0000
500,50,0.200,10,1.6830,15.7000,500.0000
500,100,0.200,10,3.0277,14.1000,500.0000
500,200,0.200,10,4.4293,13.0000,500.0000
1000,20,0.200,10,0.9081,19.3000,988.2000
1000,50,0.200,10,3.1802,19.0000,1000.0000
1000,100,0.200,10,3.8533,17.0000,1000.0000
1000,200,0.200,10,6.6861,15.7000,1000.0000
2000,20,0.200,10,0.9234,20.0000,1976.2000
2000,50,0.200,10,2.9423,22.4000,1999.9000
2000,100,0.200,10,6.5642,19.5000,2000.0000
2000,200,0.200,10,14.0901,18.4000,2000.0000
5000,20,0.200,10,2.2789,20.0000,4943.9000
5000,50,0.200,10,8.6383,26.3000,4999.9000
5000,100,0.200,10,19.7173,23.5000,5000.0000
5000,200,0.200,10,39.6783,22.3000,5000.0000
